path	domain	inventory_class	file_type	size_bytes	sha256_16	disposition	confidence	text_index	text_index_ref_count	text_index_sample	reason_code	reason	not_equal_to_distilled
assets/.DS_Store	attachments-evidence	attachment-evidence	OS-metadata	8196	ca49be860a8edd96	excluded	high	no	0	-	OS metadata	Finder metadata has no learning content and must not enter evidence counts.	Finder metadata has no learning content and must not enter evidence counts.
assets/CMake教程/CMake上-封面.png	attachments-evidence	attachment-evidence	image.png	166325	2aa5698432cce6db	evidence	medium	yes	1	archive/大丙Linux教程/番外/03 CMake 保姆级教程（上）.md	attachment evidence	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.
assets/CMake教程/CMake上-编译流程.png	attachments-evidence	attachment-evidence	image.png	92633	09a90209d14efb05	evidence	medium	yes	1	archive/大丙Linux教程/番外/03 CMake 保姆级教程（上）.md	attachment evidence	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.
assets/CMake教程/CMake下-封面.png	attachments-evidence	attachment-evidence	image.png	146472	2bf48bc1996ed662	evidence	medium	yes	1	archive/大丙Linux教程/番外/04 CMake 保姆级教程（下）.md	attachment evidence	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.
assets/CMake教程/CMake下-目录结构.png	attachments-evidence	attachment-evidence	image.png	70113	27e18c720c28bbf9	evidence	medium	yes	1	archive/大丙Linux教程/番外/04 CMake 保姆级教程（下）.md	attachment evidence	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.
assets/Linux教程/01-01.png	attachments-evidence	attachment-evidence	image.png	316804	1fd64d79de0e0552	evidence	medium	yes	1	archive/大丙Linux教程/第1章 Linux 基础/01 初识Linux操作系统.md	attachment evidence	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.
assets/Linux教程/01-02.png	attachments-evidence	attachment-evidence	image.png	230116	76f8320cc0c165c9	evidence	medium	yes	1	archive/大丙Linux教程/第1章 Linux 基础/01 初识Linux操作系统.md	attachment evidence	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.
assets/Linux教程/01-03.jpg	attachments-evidence	attachment-evidence	image.jpg	404540	db9bcabd8e8fe0af	evidence	medium	yes	1	archive/大丙Linux教程/第1章 Linux 基础/01 初识Linux操作系统.md	attachment evidence	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.
assets/Linux教程/01-04.png	attachments-evidence	attachment-evidence	image.png	74115	a4c43926a3947a37	evidence	medium	yes	1	archive/大丙Linux教程/第1章 Linux 基础/01 初识Linux操作系统.md	attachment evidence	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.
assets/Linux教程/01-05.gif	attachments-evidence	attachment-evidence	image.gif	67481	c793f52cb016d4d7	evidence	medium	yes	1	archive/大丙Linux教程/第1章 Linux 基础/01 初识Linux操作系统.md	attachment evidence	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.
assets/Linux教程/01-06.png	attachments-evidence	attachment-evidence	image.png	24238	fea7f81d625c3506	evidence	medium	yes	1	archive/大丙Linux教程/第1章 Linux 基础/01 初识Linux操作系统.md	attachment evidence	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.
assets/Linux教程/02-01.png	attachments-evidence	attachment-evidence	image.png	200372	49360021a5d81a13	evidence	medium	yes	1	archive/大丙Linux教程/第1章 Linux 基础/02 文件管理命令.md	attachment evidence	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.
assets/Linux教程/02-02.png	attachments-evidence	attachment-evidence	image.png	818335	65e948955632b930	evidence	medium	yes	1	archive/大丙Linux教程/第1章 Linux 基础/02 文件管理命令.md	attachment evidence	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.
assets/Linux教程/02-03.png	attachments-evidence	attachment-evidence	image.png	66651	818f4575bda4afe1	evidence	medium	yes	1	archive/大丙Linux教程/第1章 Linux 基础/02 文件管理命令.md	attachment evidence	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.
assets/Linux教程/03-01.png	attachments-evidence	attachment-evidence	image.png	72468	68933ba846257391	evidence	medium	yes	1	archive/大丙Linux教程/第1章 Linux 基础/03 用户管理命令.md	attachment evidence	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.
assets/Linux教程/03-02.png	attachments-evidence	attachment-evidence	image.png	41431	7f1d49ede007c007	evidence	medium	yes	1	archive/大丙Linux教程/第1章 Linux 基础/03 用户管理命令.md	attachment evidence	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.
assets/Linux教程/06-01.png	attachments-evidence	attachment-evidence	image.png	68583	e5bbe51813b6fc07	evidence	medium	yes	1	archive/大丙Linux教程/第1章 Linux 基础/06 Vim的使用.md	attachment evidence	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.
assets/Linux教程/06-02.png	attachments-evidence	attachment-evidence	image.png	39187	962481fc60adaea1	evidence	medium	yes	1	archive/大丙Linux教程/第1章 Linux 基础/06 Vim的使用.md	attachment evidence	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.
assets/Linux教程/06-03.png	attachments-evidence	attachment-evidence	image.png	39062	a5df448764c6da6b	evidence	medium	yes	1	archive/大丙Linux教程/第1章 Linux 基础/06 Vim的使用.md	attachment evidence	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.
assets/Linux教程/06-04.png	attachments-evidence	attachment-evidence	image.png	41486	125ad73878f58905	evidence	medium	yes	1	archive/大丙Linux教程/第1章 Linux 基础/06 Vim的使用.md	attachment evidence	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.
assets/Linux教程/06-05.png	attachments-evidence	attachment-evidence	image.png	56664	cc367d029820193c	evidence	medium	yes	1	archive/大丙Linux教程/第1章 Linux 基础/06 Vim的使用.md	attachment evidence	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.
assets/Linux教程/06-06.png	attachments-evidence	attachment-evidence	image.png	67973	82f0574be8a4a0b8	evidence	medium	yes	1	archive/大丙Linux教程/第1章 Linux 基础/06 Vim的使用.md	attachment evidence	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.
assets/Linux教程/06-07.png	attachments-evidence	attachment-evidence	image.png	73388	d3d8f3d7d56ceb65	evidence	medium	yes	1	archive/大丙Linux教程/第1章 Linux 基础/06 Vim的使用.md	attachment evidence	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.
assets/Linux教程/06-08.png	attachments-evidence	attachment-evidence	image.png	45102	69d77ece47e1e1ae	evidence	medium	yes	1	archive/大丙Linux教程/第1章 Linux 基础/06 Vim的使用.md	attachment evidence	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.
assets/Linux教程/07-01.jpg	attachments-evidence	attachment-evidence	image.jpg	20382	580f714872a6b999	evidence	medium	yes	1	archive/大丙Linux教程/第1章 Linux 基础/07 GCC.md	attachment evidence	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.
assets/Linux教程/08-01.png	attachments-evidence	attachment-evidence	image.png	50900	b9dbb7f3794eb336	evidence	medium	yes	1	archive/大丙Linux教程/第1章 Linux 基础/08 静态库和动态库.md	attachment evidence	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.
assets/Linux教程/08-02.png	attachments-evidence	attachment-evidence	image.png	46512	2360b7dbbd8b5d12	evidence	medium	yes	1	archive/大丙Linux教程/第1章 Linux 基础/08 静态库和动态库.md	attachment evidence	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.	Image/media bytes can support a source page or output observation, but contain no independently distilled method contract.
